,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
883,3,1982,Harrogate,Norway,Jahn Teigen and Anita Skorgan,Adieu,40,12th,,,,,,,,,,,,,,
884,4,1982,Harrogate,United Kingdom,Bardo,One Step Further,76,7th,23MbJwSXJRfM8rwQ6RUdD5,0.68,0.823,4.0,-9.323,1.0,0.0543,0.00565,0.000361,0.11800000000000001,0.888,145.321,185333.0,4.0
885,5,1982,Harrogate,Turkey,Neço,Hani,20,15th,,,,,,,,,,,,,,
886,6,1982,Harrogate,Finland,Kojo,Nuku Pommiin,—,18th,,,,,,,,,,,,,,
887,7,1982,Harrogate,Switzerland,Arlette Zola,Amour On T'aime,97,3rd,,,,,,,,,,,,,,
888,8,1982,Harrogate,Cyprus,Anna Vishy,Mono I Agapi,85,5th,,,,,,,,,,,,,,
889,9,1982,Harrogate,Sweden,Chips,Dag Efter Dag,67,8th,6lG65UH64cyVQhsmiV8Ht3,0.534,0.91,1.0,-5.646,1.0,0.0556,0.355,0.0,0.38299999999999995,0.723,132.245,174573.0,4.0
890,10,1982,Harrogate,Austria,Mess,Sonntag,57,9th,,,,,,,,,,,,,,
891,11,1982,Harrogate,Belgium,Stella,Si Tu Aimes Ma Musique,96,4th,,,,,,,,,,,,,,
892,12,1982,Harrogate,Spain,Lucía,Él,52,10th,,,,,,,,,,,,,,
893,13,1982,Harrogate,Denmark,Brixx,Video-video,5,17th,,,,,,,,,,,,,,
894,14,1982,Harrogate,Yugoslavia,Aska,Halo Halo,21,14th,,,,,,,,,,,,,,
895,15,1982,Harrogate,Israel,Avi Toledano,Hora,100,2nd,,,,,,,,,,,,,,
896,16,1982,Harrogate,The Netherlands,Bill van Dijk,Jij En Ik,8,16th,,,,,,,,,,,,,,
897,17,1982,Harrogate,Ireland,The Duskeys,"Here Today, Gone Tomorrow",49,11th,,,,,,,,,,,,,,
898,18,1982,Harrogate,Germany,Nicole,Ein Bißchen Frieden,161,1st,7JZHsMxhcaRKug5kA0DmDE,0.625,0.505,6.0,-8.667,1.0,0.0286,0.486,0.0,0.26,0.607,117.995,181867.0,4.0
899,1,1981,Dublin,Austria,Marty Brem,Wenn Du Da Bist,20,17th,,,,,,,,,,,,,,
900,2,1981,Dublin,Turkey,Modern Folk Trio and Aysegül,Dönme Dolap,9,18th,,,,,,,,,,,,,,
901,3,1981,Dublin,Germany,Lena Valaitis,Johnny Blue,132,2nd,,,,,,,,,,,,,,
902,4,1981,Dublin,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'amérique,41,11th,,,,,,,,,,,,,,
903,5,1981,Dublin,Israel,Habibi,Halaylah,56,7th,,,,,,,,,,,,,,
904,6,1981,Dublin,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,41,11th,,,,,,,,,,,,,,
905,7,1981,Dublin,Yugoslavia,Seid-Memic Vajta,Leila,35,15th,,,,,,,,,,,,,,
906,8,1981,Dublin,Finland,Riki Sorsa,Reggae O.k.,27,16th,,,,,,,,,,,,,,
907,9,1981,Dublin,France,Jean Gabilou,Humanahum,125,3rd,,,,,,,,,,,,,,
908,10,1981,Dublin,Spain,Bacchelli,Y Solo Tú,38,14th,1d9NXqULwsBqqdUx4Nvnl4,0.5489999999999999,0.846,9.0,-5.182,1.0,0.0569,0.384,0.0,0.128,0.9329999999999999,97.898,208107.0,4.0
909,11,1981,Dublin,The Netherlands,Linda Williams,Het Is Een Wonder,51,9th,,,,,,,,,,,,,,
910,12,1981,Dublin,Ireland,Sheeba,Horoscopes,105,5th,,,,,,,,,,,,,,
911,13,1981,Dublin,Norway,Finn Kalvik,Aldri I Livet,—,20th,6la8jCMq0u5ZVJMTqtjjko,0.6,0.514,0.0,-6.6610000000000005,1.0,0.0254,0.669,2.6700000000000002e-05,0.10400000000000001,0.434,130.004,229987.0,4.0
912,14,1981,Dublin,United Kingdom,Bucks Fizz,Making Your Mind Up,136,1st,0Azn2vpP3Sbs8qAG8e1KUc,0.64,0.8340000000000001,2.0,-9.413,1.0,0.0534,0.278,0.0,0.0459,0.971,173.565,158440.0,4.0
913,15,1981,Dublin,Portugal,Carlos Paião,Play-back,9,18th,,,,,,,,,,,,,,
914,16,1981,Dublin,Belgium,Emly Starr,Samson,40,13th,,,,,,,,,,,,,,
915,17,1981,Dublin,Greece,Yiannis Dimitras,Feggari Kalokerino,55,8th,,,,,,,,,,,,,,
916,18,1981,Dublin,Cyprus,Island,Monika,69,6th,,,,,,,,,,,,,,
917,19,1981,Dublin,Switzerland,"Peter, Sue and Marc",Io Senza Tei,121,4th,,,,,,,,,,,,,,
918,20,1981,Dublin,Sweden,Björn Skifs,Fångad I En Dröm,50,10th,2N2mRcSRtluXtCBV8BxiGc,0.703,0.825,5.0,-5.495,0.0,0.0314,0.0343,0.0,0.611,0.794,124.765,177200.0,4.0
919,1,1980,The-Hague,Austria,Blue Danube,Du Bist Musik,64,8th,,,,,,,,,,,,,,
920,2,1980,The-Hague,Turkey,Ajda Pekkan,Petr'oil,23,15th,,,,,,,,,,,,,,
921,3,1980,The-Hague,Greece,Anna Vishy and the Epikouri,Autostop,30,13th,,,,,,,,,,,,,,
922,4,1980,The-Hague,Luxembourg,Sophie and Magaly,Papa Pingouin,56,9th,,,,,,,,,,,,,,
923,5,1980,The-Hague,Morocco,Samira Bensaïd,Bitakat Hob,7,18th,,,,,,,,,,,,,,
924,6,1980,The-Hague,Italy,Alan Sorrenti,Non So Che Darei,87,6th,0EOdowktdF7kczBbqstCfF,0.634,0.439,6.0,-14.652999999999999,1.0,0.05,0.079,0.000221,0.188,0.727,87.057,249867.0,4.0
925,7,1980,The-Hague,Denmark,Bamses Venner,Tænker Altid På Dig,25,14th,,,,,,,,,,,,,,
926,8,1980,The-Hague,Sweden,Tomas Ledin,Just Nu!,47,10th,4162ukGloFryXqeHM4y4Ha,0.773,0.8170000000000001,9.0,-5.6770000000000005,0.0,0.0391,0.0503,0.00602,0.147,0.841,139.923,167440.0,4.0
927,9,1980,The-Hague,Switzerland,Paola,Cinéma,104,4th,,,,,,,,,,,,,,
928,10,1980,The-Hague,Finland,Vesa-Matti Loiri,Huilumies,6,19th,1VhJodDO6dIqn5XfnDGBUJ,0.563,0.6759999999999999,1.0,-11.677,1.0,0.304,0.325,0.0,0.203,0.818,161.436,182506.0,4.0
929,11,1980,The-Hague,Norway,Sverre Kjellsberg and Mattis Hætta,Sámiid Ædnan,15,16th,,,,,,,,,,,,,,
930,12,1980,The-Hague,Germany,Katja Ebstein,Theater,128,2nd,,,,,,,,,,,,,,
931,13,1980,The-Hague,United Kingdom,Prima Donna,Love Enough For Two,106,3rd,,,,,,,,,,,,,,
932,14,1980,The-Hague,Portugal,José Cid,"Um Grande, Grande Amor",71,7th,2msgWbc4Q9sY7esGISFiWx,0.505,0.7120000000000001,7.0,-8.375,1.0,0.0316,0.19,0.0,0.8170000000000001,0.84,141.877,178360.0,4.0
933,15,1980,The-Hague,The Netherlands,Maggie MacNeal,Amsterdam,93,5th,,,,,,,,,,,,,,
934,16,1980,The-Hague,France,Profil,"Hé, Hé M'sieurs Dames",45,11th,,,,,,,,,,,,,,
935,17,1980,The-Hague,Ireland,Johnny Logan,What's Another Year,143,1st,3ta02cB4LPfhru6F9D4CjW,0.475,0.65,8.0,-6.391,1.0,0.0352,0.35,3.29e-06,0.0996,0.19899999999999998,106.846,186000.0,4.0
936,18,1980,The-Hague,Spain,Trigo Limpio,Qué Date Esta Noche,38,12th,5hijfO71dmiQXCSRRMuJ3j,0.8270000000000001,0.6779999999999999,4.0,-10.635,0.0,0.102,0.539,0.0,0.634,0.701,127.428,172096.0,4.0
937,19,1980,The-Hague,Belgium,Telex,Euro-vision,14,17th,,,,,,,,,,,,,,
938,1,1979,Jerusalem,Portugal,Manuela Bravo,"Sobe, Sobe, Balão Sobe",64,9th,5BQwJzzQdGLvbZD43zDjuW,0.355,0.645,4.0,-5.813,0.0,0.0397,0.483,0.0,0.12,0.445,97.81,178093.0,4.0
939,2,1979,Jerusalem,Italy,Matia Bazar,Raggio Di Luna,27,15th,3061eUfdFxjY3IGb62Nx1a,0.7140000000000001,0.455,6.0,-9.992,0.0,0.0335,0.498,0.00392,0.0792,0.6890000000000001,98.883,222360.0,4.0
940,3,1979,Jerusalem,Denmark,Tommy Seebach,Disco Tango,76,6th,,,,,,,,,,,,,,
941,4,1979,Jerusalem,Ireland,Cathal Dunne,Happy Man,80,5th,,,,,,,,,,,,,,
942,5,1979,Jerusalem,Finland,Katri-Helena,Katso Sineen Taivaan,38,14th,,,,,,,,,,,,,,
943,6,1979,Jerusalem,Monaco,Laurent Vaguener,"Notre Vie, C'est La Musique",12,16th,,,,,,,,,,,,,,
944,7,1979,Jerusalem,Greece,Elpida,Socrates,69,8th,,,,,,,,,,,,,,
945,8,1979,Jerusalem,Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.,60,10th,,,,,,,,,,,,,,
946,9,1979,Jerusalem,Germany,Dschinghis Khan,Dschinghis Khan,86,4th,4m7p2dejJrMiiA1vg8LDPK,0.7829999999999999,0.782,5.0,-7.23,0.0,0.0348,0.0852,2.8600000000000004e-05,0.10300000000000001,0.888,131.285,271960.0,4.0
947,10,1979,Jerusalem,Israel,Milk and Honey,Hallelujah,125,1st,,,,,,,,,,,,,,
948,11,1979,Jerusalem,France,Anne-Marie David,Je Suis L'enfant-soleil,106,3rd,1wRcHQKY0ixdLGoUMD0p0u,0.337,0.723,10.0,-4.257,0.0,0.037000000000000005,0.83,0.0,0.6990000000000001,0.289,145.468,189813.0,4.0
949,12,1979,Jerusalem,Belgium,Micha Marah,Hey Nana,5,18th,,,,,,,,,,,,,,
950,13,1979,Jerusalem,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,44,13th,,,,,,,,,,,,,,
951,14,1979,Jerusalem,The Netherlands,Xandra,Colorado,51,12th,,,,,,,,,,,,,,
952,15,1979,Jerusalem,Sweden,Ted Gärdestad,Satellit,8,17th,,,,,,,,,,,,,,
953,16,1979,Jerusalem,Norway,Anita Skorgan,Oliver,57,11th,,,,,,,,,,,,,,
954,17,1979,Jerusalem,United Kingdom,Black Lace,Mary Ann,73,7th,,,,,,,,,,,,,,
955,18,1979,Jerusalem,Austria,Christina Simon,Heute In Jerusalem,5,18th,,,,,,,,,,,,,,
956,19,1979,Jerusalem,Spain,Betty Missiego,Su Canción,116,2nd,2YDMHFV05yjkhAbh2gDm6B,0.792,0.41700000000000004,2.0,-13.948,1.0,0.0317,0.127,0.0,0.303,0.8320000000000001,99.935,183093.0,4.0
957,1,1978,Paris,Ireland,Colm T. Wilkinson,Born To Sing,86,5th,,,,,,,,,,,,,,
958,2,1978,Paris,Norway,Jahn Teigen,Mil Etter Mil,—,20th,2tbNnbDM8vcGxlPqzyQHNj,0.644,0.594,7.0,-8.396,1.0,0.0291,0.221,2.01e-05,0.0858,0.723,118.87899999999999,185667.0,4.0
959,3,1978,Paris,Italy,Ricchi e Poveri,Questo Amore,53,12th,,,,,,,,,,,,,,
960,4,1978,Paris,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,2,18th,6sC95DOH4NWj6c22bTZf3C,0.52,0.304,7.0,-9.027999999999999,1.0,0.0362,0.848,0.0,0.0884,0.385,80.33800000000001,158267.0,4.0
961,5,1978,Paris,Portugal,Gemini,Dai-li-dou,5,17th,,,,,,,,,,,,,,
962,6,1978,Paris,France,Joël Prévost,Il Y Aura Toujours Des Violons,119,3rd,,,,,,,,,,,,,,
963,7,1978,Paris,Spain,José Vélez,Bailemos Un Vals,65,9th,07HHIWiizlox1aoaxscHoj,0.5710000000000001,0.85,0.0,-4.479,1.0,0.0325,0.264,0.00477,0.214,0.727,98.829,187533.0,3.0
964,8,1978,Paris,United Kingdom,Co-Co,The Bad Old Days,61,11th,,,,,,,,,,,,,,
965,9,1978,Paris,Switzerland,Carole Vinci,Vivre,65,9th,,,,,,,,,,,,,,
966,10,1978,Paris,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,125,2nd,,,,,,,,,,,,,,
967,11,1978,Paris,The Netherlands,Harmony,'t Is Ok,37,13th,,,,,,,,,,,,,,
968,12,1978,Paris,Turkey,Nazar,Sevinçe,2,18th,,,,,,,,,,,,,,
969,13,1978,Paris,Germany,Ireen Sheer,Feuer,84,6th,,,,,,,,,,,,,,
970,14,1978,Paris,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,107,4th,,,,,,,,,,,,,,
971,15,1978,Paris,Greece,Tania Tsanaklidou,Charlie Chaplin,66,8th,,,,,,,,,,,,,,
972,16,1978,Paris,Denmark,Mabel,Boom Boom,13,16th,,,,,,,,,,,,,,
973,17,1978,Paris,Luxembourg,Baccara,Parlez-vous Français?,73,7th,5Jdagapk8O0PE29Y06uwu3,0.386,0.7809999999999999,5.0,-5.777,1.0,0.0902,0.314,0.0,0.187,0.777,127.361,266440.0,4.0
974,18,1978,Paris,Israel,Izhar Cohen and the Alphabeta,Abanibi,157,1st,,,,,,,,,,,,,,
975,19,1978,Paris,Austria,Springtime,Mrs. Caroline Robinson,14,15th,,,,,,,,,,,,,,
976,20,1978,Paris,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,26,14th,62JiaUfaO3wA1iIvS2MYa8,0.499,0.6,5.0,-6.928999999999999,1.0,0.0294,0.127,0.0,0.172,0.498,77.979,182613.0,4.0
977,1,1977,London,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,119,3rd,,,,,,,,,,,,,,
978,2,1977,London,Monaco,Michèle Torr,Une Petite Française,96,4th,29xVq0OlVUR1aXQhflX75E,0.581,0.789,0.0,-6.013,0.0,0.0889,0.75,0.0,0.841,0.524,99.29,183600.0,4.0
979,3,1977,London,The Netherlands,Heddy Lester,De Mallemolen,35,12th,,,,,,,,,,,,,,
980,4,1977,London,Austria,Schmetterlinge,Boom Boom Boomerang,11,17th,,,,,,,,,,,,,,
981,5,1977,London,Norway,Anita Skorgan,Casanova,18,14th,,,,,,,,,,,,,,
982,6,1977,London,Germany,Silver Convention,Telegram,55,8th,,,,,,,,,,,,,,
983,7,1977,London,Luxembourg,Anne Marie B.,Frère Jacques,17,16th,,,,,,,,,,,,,,
984,8,1977,London,Portugal,Os Amigos,Portugal No Coração,18,14th,,,,,,,,,,,,,,
985,9,1977,London,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,121,2nd,,,,,,,,,,,,,,
986,10,1977,London,Greece,"Pascalis, Marianna, Robert and Bessy",Mathema Solfege,92,5th,,,,,,,,,,,,,,
987,11,1977,London,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,49,11th,,,,,,,,,,,,,,
988,12,1977,London,Switzerland,Pepe Lienhard Band,Swiss Lady,71,6th,,,,,,,,,,,,,,
989,13,1977,London,Sweden,Forbes,Beatles,2,18th,,,,,,,,,,,,,,
990,14,1977,London,Spain,Micky,Enseñame A Cantar,52,9th,3M5gx2rF2LGhql8iJBFZjs,0.674,0.6920000000000001,2.0,-11.630999999999998,1.0,0.11,0.511,1.0300000000000001e-05,0.0454,0.941,187.97,208800.0,4.0
991,15,1977,London,Italy,Mia Martini,Liberà,33,13th,,,,,,,,,,,,,,
992,16,1977,London,Finland,Monica Aspelund,Lapponia,50,10th,131CXFc3np7WHcdQnyHDi6,0.642,0.436,0.0,-11.192,1.0,0.0333,0.8340000000000001,3.39e-06,0.162,0.775,103.49700000000001,167000.0,4.0
993,17,1977,London,Belgium,Dream Express,"A Million In One, Two, Three",69,7th,,,,,,,,,,,,,,
994,18,1977,London,France,Marie Myriam,L'oiseau Et L'enfant,136,1st,7Hy0CZtFcREucLDXB5jp6m,0.742,0.24100000000000002,2.0,-14.751,1.0,0.0349,0.846,0.0,0.10099999999999999,0.335,102.85700000000001,183413.0,4.0
995,1,1976,The-Hague,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,164,1st,,,,,,,,,,,,,,
996,2,1976,The-Hague,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",91,4th,,,,,,,,,,,,,,
997,3,1976,The-Hague,Germany,Les Humphries Singers,"Sing, Sang, Song",12,15th,,,,,,,,,,,,,,
998,4,1976,The-Hague,Israel,"Chocolate, Menta, Mastik",Emor Shalom,77,6th,,,,,,,,,,,,,,
999,5,1976,The-Hague,Luxembourg,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment,17,14th,,,,,,,,,,,,,,
1000,6,1976,The-Hague,Belgium,Pierre Rapsat,Judy Et Cie.,68,8th,6PjYSOQXBAM08XIcWmTLQE,0.426,0.728,4.0,-6.309,0.0,0.0412,0.355,0.000183,0.9279999999999999,0.34299999999999997,141.171,181905.0,4.0
1001,7,1976,The-Hague,Ireland,Red Hurley,When,54,10th,,,,,,,,,,,,,,
1002,8,1976,The-Hague,The Netherlands,Sandra Reemer,The Party's Over Now,56,9th,,,,,,,,,,,,,,
1003,9,1976,The-Hague,Norway,Anne-Karine Ström,Mata Hari,7,18th,,,,,,,,,,,,,,
1004,10,1976,The-Hague,Greece,Mariza Koch,"Panaghia Mou, Panaghia Mou",20,13th,,,,,,,,,,,,,,
1005,11,1976,The-Hague,Finland,Fredi and The Friends,Pump-pump,44,11th,,,,,,,,,,,,,,
1006,12,1976,The-Hague,Spain,Braulio,Sobran Las Palabras,11,16th,1QOgYW9oq5r6evWA2A4s6a,0.405,0.479,9.0,-9.362,1.0,0.044000000000000004,0.25,0.0,0.33899999999999997,0.48,171.826,181173.0,4.0
1007,13,1976,The-Hague,Italy,Romina and Al Bano,We'll Live It All Again,69,7th,,,,,,,,,,,,,,
1008,14,1976,The-Hague,Austria,Waterloo and Robinson,My Little World,80,5th,,,,,,,,,,,,,,
1009,15,1976,The-Hague,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,24,12th,0op9SxdoWb74vYLwO68VCP,0.43200000000000005,0.293,1.0,-13.993,1.0,0.0373,0.546,0.0045899999999999995,0.20600000000000002,0.281,106.206,153253.0,3.0
1010,16,1976,The-Hague,Monaco,Mary Christy,"Toi, La Musique Et Moi",93,3rd,,,,,,,,,,,,,,
1011,17,1976,The-Hague,France,Catherine Ferry,"Un, Deux, Trois",147,2nd,,,,,,,,,,,,,,
1012,18,1976,The-Hague,Yugoslavia,Ambasadori,Ne Mogu Skriti Svoju Bol,10,17th,,,,,,,,,,,,,,
1013,1,1975,Stockholm,The Netherlands,Teach-In,Ding-A-Dong,152,1st,,,,,,,,,,,,,,
1014,2,1975,Stockholm,Ireland,The Swarbriggs,That's What Friends Are For,68,9th,,,,,,,,,,,,,,
1015,3,1975,Stockholm,France,Nicole Rieu,Et Bonjour à Toi L'artiste,91,4th,5eGnVU7C3mRbXMergmSz9Q,0.498,0.231,2.0,-16.628,1.0,0.0325,0.812,0.00020099999999999998,0.0705,0.34600000000000003,134.092,222493.0,4.0
1016,4,1975,Stockholm,Germany,Joy Fleming,Ein Lied Kann Eine Brücke Sein,15,17th,,,,,,,,,,,,,,
1017,5,1975,Stockholm,Luxembourg,Géraldine,Toi,84,5th,,,,,,,,,,,,,,
1018,6,1975,Stockholm,Norway,Ellen Nikolaysen,You Touched My Life With Summer,11,18th,,,,,,,,,,,,,,
1019,7,1975,Stockholm,Switzerland,Simone Drexel,Mikado,77,6th,,,,,,,,,,,,,,
1020,8,1975,Stockholm,Yugoslavia,Pepel In Kri,Dan Ljubezni,22,13th,0TJ88SNG3D6nM9kNPhx7YW,0.49700000000000005,0.615,0.0,-7.9910000000000005,1.0,0.0297,0.0425,0.0,0.0757,0.527,116.531,218573.0,4.0
1021,9,1975,Stockholm,United Kingdom,The Shadows,Let Me Be The One,138,2nd,,,,,,,,,,,,,,
1022,10,1975,Stockholm,Malta,Renato,Singing This Song,32,12th,,,,,,,,,,,,,,
1023,11,1975,Stockholm,Belgium,Ann Christy,Gelukkig Zijn,17,15th,,,,,,,,,,,,,,
1024,12,1975,Stockholm,Israel,Shlomo Artzi,At Ve'ani,40,11th,,,,,,,,,,,,,,
1025,13,1975,Stockholm,Turkey,Semiha Yanki,Seninle Bir Dakika,3,19th,371nNwFetX7GVB7Po7Z1nu,0.392,0.615,5.0,-6.403,0.0,0.0485,0.836,0.000143,0.213,0.348,91.999,175443.0,4.0
1026,14,1975,Stockholm,Monaco,Sophie,Une Chanson C'est Une Lettre,22,13th,,,,,,,,,,,,,,
1027,15,1975,Stockholm,Finland,Pihasoittajat,Old Man Fiddle,74,7th,,,,,,,,,,,,,,
1028,16,1975,Stockholm,Portugal,Duarte Mendes,Madrugada,16,16th,,,,,,,,,,,,,,
1029,17,1975,Stockholm,Spain,Sergio y Estíbaliz,Tú Volverás,53,10th,2KYlV00chBWcckA8smxYJW,0.266,0.598,10.0,-4.362,1.0,0.0351,0.632,0.0,0.209,0.512,171.666,209787.0,4.0
1030,18,1975,Stockholm,Sweden,Lars Berghagen and the Dolls,"Jennie, Jennie",72,8th,,,,,,,,,,,,,,
1031,19,1975,Stockholm,Italy,Wess and Dori Ghezzi,Era,115,3rd,,,,,,,,,,,,,,
1032,1,1974,Brighton,Finland,Carita,Äla Mene Pois (Keep Me Warm),4,13th,,,,,,,,,,,,,,
1033,2,1974,Brighton,United Kingdom,Olivia Newton-John,Long Live Love,14,4th,,,,,,,,,,,,,,
1034,3,1974,Brighton,Spain,Peret,Canta Y Se Feliz,10,9th,4xuQ7KieQmHXiYdh965WQR,0.632,0.755,8.0,-3.4019999999999997,0.0,0.284,0.218,0.0,0.0536,0.773,103.49,170600.0,4.0
1035,4,1974,Brighton,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love,3,14th,,,,,,,,,,,,,,
1036,5,1974,Brighton,Greece,Marinella,"Krassi, Thalassa Ke T'agori Mou",7,11th,,,,,,,,,,,,,,
1037,6,1974,Brighton,Israel,Poogy,Natati La Khaiai,11,7th,,,,,,,,,,,,,,
1038,7,1974,Brighton,Yugoslavia,Korni,Generacija 42,6,12th,,,,,,,,,,,,,,
1039,8,1974,Brighton,Sweden,ABBA,Waterloo,24,1st,0RzhMHIsFMbOGh0oWDvNNK,0.441,0.9259999999999999,2.0,-4.736000000000001,1.0,0.046,0.423,3.38e-06,0.235,0.779,147.564,168827.0,4.0
1040,9,1974,Brighton,Luxembourg,Ireen Sheer,"Bye, Bye, I Love You",14,4th,,,,,,,,,,,,,,
1041,10,1974,Brighton,Monaco,Romuald,Celui Qui Reste Et Celui Qui S'en Va,14,4th,,,,,,,,,,,,,,
1042,11,1974,Brighton,Belgium,Jacques Hustin,Fleur De Liberté,10,9th,,,,,,,,,,,,,,
1043,12,1974,Brighton,The Netherlands,Mouth and MacNeal,I See A Star,15,3rd,3SmDP7wT0J7NTHtzB896PD,0.603,0.52,4.0,-7.885,1.0,0.0347,0.792,0.000668,0.11199999999999999,0.48100000000000004,89.24799999999999,176027.0,4.0
1044,13,1974,Brighton,Ireland,Tina,Cross Your Heart,11,7th,,,,,,,,,,,,,,
1045,14,1974,Brighton,Germany,Cindy und Bert,Die Sommermelodie,3,14th,,,,,,,,,,,,,,
1046,15,1974,Brighton,Switzerland,Piera Martell,Mein Ruf Nach Dir,3,14th,,,,,,,,,,,,,,
1047,16,1974,Brighton,Portugal,Paulo de Carvalho,E Depois Do Adeus,3,14th,6ThJAONKSkyQxnfLmmtpIh,0.475,0.586,0.0,-6.718999999999999,1.0,0.0442,0.293,0.0,0.0863,0.35200000000000004,109.898,192373.0,4.0
1048,17,1974,Brighton,Italy,Gigliola Cinquetti,Si,18,2nd,,,,,,,,,,,,,,
1049,1,1973,Luxembourg,Finland,Marion Rung,Tom Tom Tom,93,6th,,,,,,,,,,,,,,
1050,2,1973,Luxembourg,Belgium,Nicole and Hugo,"Baby, Baby",58,17th,,,,,,,,,,,,,,
1051,3,1973,Luxembourg,Portugal,Fernando Tordo,Tourada,80,10th,5x4vPEqiO7mzrI2QG3S4YV,0.72,0.6859999999999999,2.0,-8.698,1.0,0.126,0.7809999999999999,0.0,0.18,0.604,95.96600000000001,237153.0,4.0
1052,4,1973,Luxembourg,Germany,Gitte,Junger Tag,85,8th,,,,,,,,,,,,,,
1053,5,1973,Luxembourg,Norway,Bendik Singers,It's Just A Game,89,7th,,,,,,,,,,,,,,
1054,6,1973,Luxembourg,Monaco,Marie,Un Train Qui Part,85,8th,,,,,,,,,,,,,,
1055,7,1973,Luxembourg,Spain,Mocedades,Eres Tú,125,2nd,08HeIb9BidFjKROf9ptln0,0.415,0.428,2.0,-9.312999999999999,1.0,0.0254,0.132,0.0,0.297,0.652,81.352,214573.0,4.0
1056,8,1973,Luxembourg,Switzerland,Patrick Juvet,"Je Me Vais Marier, Marie",79,12th,,,,,,,,,,,,,,
1057,9,1973,Luxembourg,Yugoslavia,Zdravko Colic,Gori Vatra,65,15th,6jy8sZcvlXJwClG6pof8XO,0.369,0.7,9.0,-7.627999999999999,0.0,0.0386,0.259,0.0,0.138,0.37,93.639,178227.0,4.0
1058,10,1973,Luxembourg,Italy,Massimo Ranieri,Chi Sarà Con Te,74,13th,5yyEIHirG13Ya2rcBvIpC5,0.384,0.465,1.0,-7.1579999999999995,1.0,0.0303,0.494,1.49e-06,0.076,0.35100000000000003,117.031,195813.0,4.0
1059,11,1973,Luxembourg,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,129,1st,3682WlWtLmx44QNpB6Py4X,0.544,0.669,3.0,-4.314,0.0,0.0283,0.6509999999999999,1.35e-06,0.17800000000000002,0.462,100.473,159013.0,3.0
1060,12,1973,Luxembourg,Sweden,The Nova and The Dolls,You're Summer,94,5th,,,,,,,,,,,,,,
1061,13,1973,Luxembourg,The Netherlands,Ben Cramer,De Oude Muzikant,69,14th,20vPs9ZVq3hcbKAs2o3QE1,0.37799999999999995,0.519,4.0,-10.690999999999999,1.0,0.127,0.616,2.57e-05,0.17800000000000002,0.601,181.358,209773.0,3.0
1062,14,1973,Luxembourg,Ireland,Maxi,Do I Dream?,80,10th,,,,,,,,,,,,,,
1063,15,1973,Luxembourg,United Kingdom,Cliff Richard,Power To All Our Friends,123,3rd,4oJxJpFIGUHlX6limr6rH1,0.36,0.413,4.0,-9.966000000000001,1.0,0.037000000000000005,0.782,0.0,0.315,0.629,180.243,183067.0,4.0
1064,16,1973,Luxembourg,France,Martine Clémenceau,Sans Toi,65,15th,,,,,,,,,,,,,,
1065,17,1973,Luxembourg,Israel,Ilanit,Ey-sham,97,4th,6XTFPBCx1F8q9V2CgXnUWO,0.358,0.304,7.0,-17.003,1.0,0.0303,0.955,0.9209999999999999,0.125,0.531,89.557,172373.0,4.0
1066,1,1972,Edinburgh,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,107,3rd,3g2JgkeNR1csWkiYxMjnDs,0.565,0.54,4.0,-6.6160000000000005,1.0,0.0318,0.27,0.0,0.281,0.6729999999999999,98.721,193973.0,4.0
1067,2,1972,Edinburgh,France,Betty Mars,Comé-comédie,81,11th,,,,,,,,,,,,,,
1068,3,1972,Edinburgh,Ireland,Sandie Jones,Ceol On Ghrá,72,15th,,,,,,,,,,,,,,
1069,4,1972,Edinburgh,Spain,Jaime Morey,Amanece,83,10th,,,,,,,,,,,,,,
1070,5,1972,Edinburgh,United Kingdom,The New Seekers,"Beg, Steal Or Borrow",114,2nd,2xzg2um6uPJiSl5hd89wAp,0.508,0.623,9.0,-11.237,0.0,0.0531,0.444,4.16e-06,0.353,0.495,134.222,173280.0,4.0
1071,6,1972,Edinburgh,Norway,Grethe Kausland and Benny Borg,Småting,73,14th,,,,,,,,,,,,,,
